[2018-02-03 13:51:39,115] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 13:52:47,454] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 13:52:47,542] - [INFO] - 手机版本号为：6.0

[2018-02-03 14:14:59,306] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 14:14:59,345] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 14:14:59,431] - [INFO] - 手机版本号为：6.0

[2018-02-03 14:14:59,448] - [INFO] - start appium :p 4706 bp 4803 device:G40GLD4572500169
[2018-02-03 14:15:22,676] - [INFO] - 获取driver成功
[2018-02-03 15:20:25,861] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 15:20:25,907] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 15:20:26,010] - [INFO] - 手机版本号为：6.0

[2018-02-03 15:20:26,029] - [INFO] - start appium :p 4882 bp 4894 device:G40GLD4572500169
[2018-02-03 15:20:50,828] - [INFO] - 获取driver成功
[2018-02-03 16:09:09,065] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 16:09:09,121] - [INFO] - 手机设备为：G40GLD4572500169
[2018-02-03 16:09:09,230] - [INFO] - 手机版本号为：6.0

[2018-02-03 16:09:09,246] - [INFO] - start appium :p 4810 bp 4852 device:G40GLD4572500169
[2018-02-03 16:09:34,062] - [INFO] - 获取driver成功
